ID,B,C,Value
Apollo-Ridge SD,Remote,9/8/2020,District Plan
Abington SD,Remote,9/8/2020,District Plan
Abington Heights SD,Remote,9/9/2020,District Plan
Albert Gallatin Area SD,Remote,9/8/2020,District Plan
Aliquippa SD,Blended,8/31/2020,District Plan
Allegheny-Clarion Valley SD,In-Person,8/31/2020,District Plan
Allentown City SD,Remote,9/8/2020,District Plan
Cameron County SD,In-Person,8/26/2020,District Plan
Altoona Area SD,Blended,9/8/2020,District Plan
Ambridge Area SD,Blended,8/31/2020,District Plan
Annville-Cleona SD,Blended,8/31/2020,District Plan
Bangor Area SD,Blended,9/2/2020,District Plan
Bermudian Springs SD,Blended,8/24/2020,District Plan
Camp Hill SD,Blended,9/8/2020,District Plan
Canon-McMillan SD,Blended,8/24/2020,District Plan
Armstrong SD,In-Person,9/8/2020,District Plan
Brookville Area SD,In-Person,8/26/2020,District Plan
Brownsville Area SD,Blended,9/8/2020,District Plan
Bryn Athyn SD,N/A,null,null
Burgettstown Area SD,In-Person,8/31/2020,District Plan
Burrell SD,In-Person,9/8/2020,District Plan
California Area SD,Blended,8/26/2020,District Plan
Cambria Heights SD,Blended,9/8/2020,District Plan
Athens Area SD,In-Person,8/27/2020,District Plan
Austin Area SD,In-Person,8/26/2020,District Plan
Avella Area SD,In-Person,8/26/2020,District Plan
Avon Grove SD,Remote,8/31/2020,District Plan
Avonworth SD,Blended,9/1/2020,District Plan
Bald Eagle Area SD,In-Person,8/25/2020,District Plan
Baldwin-Whitehall SD,Blended,9/3/2020,District Plan
Berwick Area SD,Blended,8/20/2020,District Plan
Bethlehem Area SD,Blended,8/31/2020,District Plan
Bethlehem-Center SD,Blended,9/9/2020,District Plan
Big Beaver Falls Area SD,Blended,8/31/2020,District Plan
Bristol Borough SD,Remote,9/9/2020,District Plan
Big Spring SD,Blended,9/8/2020,District Plan
Chichester SD,Remote,9/8/2020,District Plan
Blackhawk SD,In-Person,9/8/2020,District Plan
Blacklick Valley SD,Blended,9/8/2020,District Plan
Blairsville-Saltsburg SD,Blended,9/8/2020,District Plan
Bloomsburg Area SD,In-Person,8/24/2020,District Plan
Blue Mountain SD,In-Person,9/8/2020,District Plan
Blue Ridge SD,Blended,8/31/2020,District Plan
Boyertown Area SD,Blended,8/31/2020,District Plan
Bradford Area SD,In-Person,8/24/2020,District Plan
Claysburg-Kimmel SD,Blended,8/26/2020,District Plan
Clearfield Area SD,Blended,8/26/2020,District Plan
Coatesville Area SD,Remote,8/31/2020,District Plan
Cocalico SD,Blended,8/24/2020,District Plan
Canton Area SD,In-Person,8/31/2020,District Plan
Carbondale Area SD,Remote,9/1/2020,District Plan
Clairton City SD,Blended,8/31/2020,District Plan
Carlisle Area SD,Blended,9/8/2020,District Plan
Charleroi SD,Blended,9/8/2020,District Plan
Brentwood Borough SD,Blended,8/31/2020,District Plan
Central Dauphin SD,Blended,8/24/2020,District Plan
Bristol Township SD,Remote,9/8/2020,District Plan
Brockway Area SD,In-Person,8/27/2020,District Plan
Chambersburg Area SD,Remote,8/24/2020,District Plan
Colonial SD,Remote,8/31/2020,District Plan
Farrell Area SD,In-Person,8/24/2020,District Plan
Fannett-Metal SD,In-Person,8/24/2020,District Plan
Elizabeth Forward SD,Blended,8/31/2020,District Plan
Elizabethtown Area SD,In-Person,8/31/2020,District Plan
Columbia Borough SD,Blended,8/31/2020,District Plan
Commodore Perry SD,In-Person,9/8/2020,District Plan
Chartiers Valley SD,Blended,8/24/2020,District Plan
Chartiers-Houston SD,Blended,8/27/2020,District Plan
Chester-Upland SD,Remote,9/1/2020,District Plan
Chestnut Ridge SD,Blended,8/20/2020,District Plan
Carlynton SD,Remote,8/25/2020,District Plan
Carmichaels Area SD,Blended,8/26/2020,District Plan
Hanover Area SD,Blended,8/31/2020,District Plan
Catasauqua Area SD,In-Person,8/31/2020,District Plan
Hanover Public SD,Blended,8/21/2020,District Plan
Centennial SD,Remote,9/1/2020,District Plan
Conemaugh Valley SD,Blended,8/31/2020,District Plan
Central Valley SD,In-Person,8/31/2020,District Plan
Central Bucks SD,Remote,9/8/2020,District Plan
Central Cambria SD,Blended,9/8/2020,District Plan
Conestoga Valley SD,Blended,8/24/2020,District Plan
Conewago Valley SD,Blended,8/25/2020,District Plan
Central Columbia SD,In-Person,8/27/2020,District Plan
Central Fulton SD,In-Person,8/19/2020,District Plan
Central Greene SD,Blended,8/27/2020,District Plan
Central York SD,In-Person,8/21/2020,District Plan
Benton Area SD,In-Person,8/27/2020,District Plan
Bentworth SD,In-Person,8/24/2020,District Plan
Berlin Brothersvalley SD,In-Person,9/1/2020,District Plan
Corry Area SD,In-Person,8/26/2020,District Plan
Cumberland Valley SD,Blended,8/31/2020,District Plan
Curwensville Area SD,In-Person,8/27/2020,District Plan
Dallas SD,Blended,8/26/2020,District Plan
Dallastown Area SD,In-Person,9/8/2020,District Plan
Clarion Area SD,In-Person,8/26/2020,District Plan
Clarion-Limestone Area SD,In-Person,8/26/2020,District Plan
Exeter Township SD,In-Person,8/24/2020,District Plan
Coudersport Area SD,In-Person,8/31/2020,District Plan
Council Rock SD,Remote,9/8/2020,District Plan
Fairfield Area SD,Blended,9/8/2020,District Plan
Cranberry Area SD,In-Person,9/1/2020,District Plan
Kane Area SD,In-Person,8/25/2020,District Plan
Elk Lake SD,Blended,8/27/2020,District Plan
Crestwood SD,Remote,9/8/2020,District Plan
Garnet Valley SD,Remote,9/1/2020,District Plan
Gateway SD,Blended,9/8/2020,District Plan
Ellwood City Area SD,In-Person,9/8/2020,District Plan
Ephrata Area SD,In-Person,8/31/2020,District Plan
Erie City SD,Remote,9/8/2020,District Plan
Everett Area SD,Blended,8/20/2020,District Plan
Danville Area SD,In-Person,9/3/2020,District Plan
Deer Lakes SD,Blended,8/31/2020,District Plan
Delaware Valley SD,In-Person,8/31/2020,District Plan
